Nom,Auteurs,"Sujets, Mots-clés",Mis à jour,Création,Licence,Début,Fin,Lignes,Sites,Type,Etat,Couverture,Couverture Geom,Échelle,Langue,Description
ADAB_2011_Sud,Jean-Philippe Droux,Adab sud,2018-03-25 16:52,2018-03-25 16:37,CC-BY-NC-SA,-3000000,1999,1594,1590,Inventaire,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.52371988348306,47.5369064735619],[7.52371988348306,48.2548182916315],[8.40260565376766,48.2548182916315],[8.40260565376766,47.5369064735619],[7.52371988348306,47.5369064735619]]]}",Site,fr,"In der Datenbank ADABweb sind im Sommer 2009 rund 170.000 Objekte der Archäologie und der Bau- und Kunstgeschichte eingetragen. Der Erfassungsstand variiert in den einzelnen Landkreisen. Kombiniert werden die Kulturdenkmale mit den Daten der Automatischen Liegenschaftskarte, topographischen Karten in unterschiedlichen Maßstäben, landesweiten Orthofotos der Landesvermessung, den so genannten Urnummernkarten, das heißt den ersten Flurkarten aus dem 19. Jahrhundert, die zurzeit digitalisiert werden. Auch externe Datenquellen können per WMS/WFS eingebunden und visualisiert werden. Außerdem sind mehr als 40.000 digitalisierte Pläne und Gebäudegrundrisse aus dem Planarchiv der Denkmalpflege digital recherchierbar. Seit Februar 2009 werden sukzessive die Bilder des Luftbildarchivs des Landesamtes für Denkmalpflege digitalisiert und im Kontext zum jeweiligen Objekt direkt zugänglich gemacht. Ergebnisse von archäologischen Ausgrabungen (Grabungspläne) werden nach und nach eingebunden. Der Verbleib der Funde im Zentralen Fundarchiv Rastatt (ZFA) wird durch die Kombination zweier Datenbanken - Esslingen (LAD) und Rastatt (ZFA) - in ADABweb nachgewiesen."
Brotschberg_2017,Steeve Gentner,"Brotschberg, Habitat, Mobilier, Prospection",2018-03-07 22:45,2018-03-07 22:45,CC-BY-NC,-6500,1600,45,44,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.323163,48.704695],[7.323163,48.708176],[7.32718,48.708176],[7.32718,48.704695],[7.323163,48.704695]]]}",Objet,fr,"Résultats des prospections menées sur le Brotschberg à Haegen (67, Bas-Rhin) par S. Gentner et M. Walter en Juin 2017 dans le cadre de l'Axe 1 (Enceintes et sites fortifiés du Rhin supérieur) de l'équipe IV - AMER de l'UMR 7044. Cette base de données est complémentaire au rapport d'opération déposé au SRA en 2017 : ""S. Gentner, M. Walter, Les enceintes de hauteur du Brotschberg à Haegen et du Wuestenberg à Rheinhardsmunster (67), deux fortifications de contour du pas de Saverne, Prospection inventaire, Rapport 2017"". Le but de cette base de données est aussi expérimentale, afin de tester le potentiel du logiciel ArkéoGIS à l'échelle d'un site."
Boucles de ceinture artefacts.mom,Lizzie Scholtus - Michel Feugère,Boucles de ceinture en Gaule de l'Est issues de la base Artefacts,2018-02-07 23:22,2018-02-03 23:19,CC-BY-NC-SA,-20,500,357,356,Recherche,En cours,Continent,"{""type"":""Polygon"",""coordinates"":[[[5.39833,47.24878],[5.39833,49.98419],[8.41944,49.98419],[8.41944,47.24878],[5.39833,47.24878]]]}",Objet,fr,"Extraction des boucles de ceinture romaines depuis la base artefacts.mom.fr, pour la Gaule de l'Est"
Cours cartes de confiance,Charlène Morel,"Alsace, Carte de confiance, Cours",2018-01-31 14:51,2018-01-31 14:51,CC-BY-NC-SA,-6500,1491,150,149,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.4908876,48.363754],[7.4908876,48.43622],[7.7982802,48.43622],[7.7982802,48.363754],[7.4908876,48.363754]]]}",Site,fr,"Base créée dans le cadre d'un cours sur les cartes de confiance. A ne pas utiliser scientifiquement !
1 ligne = 1 site
Les caractérisations de chaque site ont été retirées, il n'en reste qu'une seule ligne."
Sites et indices de sites Paléolithiques d'Alsace,Jean-Philippe Droux - Patrice Wuscher,Sites et indices de sites Paléolithiques d'Alsace,2018-01-23 17:58,2018-01-22 17:57,CC-BY-NC,-3000000,-9601,148,121,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[6.97750587,47.4553876],[6.97750587,49.0293],[8.17846,49.0293],[8.17846,47.4553876],[6.97750587,47.4553876]]]}",Site,fr,"Inventaire des sites paléolithiques (donc sans le
mésolithique pour l'instant) récemment révisé et remis à jour dans le cadre
du PCR ""Le Paléolithique et le Mésolithique de la Plaine d’Alsace et des
collines sous-vosgiennes. Reprises des données existantes, pistes pour
détecter les sites et approches territoriales"" dirigé par Patrice Wuscher"
SHKR,Franziska Faupel - Oliver Nakoinz,Eisenzeit SHKR,2017-11-09 02:19,2017-09-22 17:21,CC-BY-NC,-2200,580,9849,9848,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[6.26687161544985,47.5438021901295],[6.26687161544985,50.6918288400207],[10.4776245683304,50.6918288400207],[10.4776245683304,47.5438021901295],[6.26687161544985,47.5438021901295]]]}",Site,de,"Eisenzeit SHKR, für ArkeoGIS modifiziert (Daten), einigen Koordinaten verändert, einige Fundstellen herausgenommen. Besser in der SHKR nachschauen."
CMorel_Thèse_Alsace,Charlène Morel,"Géoarchéologie, Kochersberg, Loess, Longue durée",2017-10-18 17:35,2017-10-12 16:02,CC-BY-NC,-6500,1500,1849,465,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.40377365,48.51680275],[7.40377365,48.78697287],[7.84856149,48.78697287],[7.84856149,48.51680275],[7.40377365,48.51680275]]]}",Micro région,fr,"Cette base de données résulte de la compilation des données du S.R.A. de Strasbourg dans le cadre d’une thèse en préparation à l’université de Strasbourg. Le but est d’étudier l’occupation et l’exploitation des lœss aux alentours du Kochersberg (Alsace, France) entre le Néolithique et le XVè siècle. Tous les sites n’ont pas été retenus et intégrés à la base de données. Seuls ceux avec une information assez fiable ont été gardés. Sont donc exclus : les centroïdes, les sites avec une occupation trop lâche pour parler d’habitat, les diagnostics négatifs, la plupart des dépôts, les sites dont la date ou la fonction n’étaient pas déterminées ainsi que le mobilier hors-site."
Sites de métallurgie du fer en Lorraine,Alexandre Disser,"Archéométallurgie, alliages ferreux, Lorraine",2017-10-16 23:52,2017-10-16 23:09,CC-BY-NC-SA,-800,2016,1387,503,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[4.96899127029747,47.9818093382483],[4.96899127029747,49.5619194146207],[7.1808002139264,49.5619194146207],[7.1808002139264,47.9818093382483],[4.96899127029747,47.9818093382483]]]}",Site,fr,Base de données établie dans le cadre du programme de recherche sur l'archéométallurgie du fer en Lorraine sous la direction de Marc Leroy (LMC IRAMAT-UMR 5060).
"Inventaire d'ouvrages miniers ""anciens""",Luca Banchetti - Alexandre Disser,"Activités minières, Ages des métaux, Antiquité, fer, argent, or, cuivre.",2017-10-05 19:58,2017-10-05 16:50,CC-BY-NC-SA,-2200,2016,792,292,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[-3.46667,42.73794],[-3.46667,49.7075],[7.26295,49.7075],[7.26295,42.73794],[-3.46667,42.73794]]]}",Site,fr,"Inventaire réalisé en 2008 sur la base des informations collectées dans la CAG, PATRIARCHE et les bulletins annuels de la SAFEMM."
shkr_koord_test_gk,Loup Bernard - Franziska Faupel,GK3 = EPSG 5683,2017-09-30 14:24,2017-09-30 13:22,CC-BY-NC-SA,-800,1,7,6,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[8.52297484177384,48.5447156984193],[8.52297484177384,49.4883361202406],[9.27809071939035,49.4883361202406],[9.27809071939035,48.5447156984193],[8.52297484177384,48.5447156984193]]]}",Site,de,GK3 = EPSG 5683
Base_Monnaie,Eneko Hiriart,Base monnaies de Gaule (en cours),2017-08-03 14:27,2017-08-03 04:28,CC-BY-NC-SA,-320,-26,21923,21849,Recherche,En cours,Continent,"{""type"":""Polygon"",""coordinates"":[[[-4.29881124488969,42.3515684654496],[-4.29881124488969,50.9697638977786],[7.35525586098872,50.9697638977786],[7.35525586098872,42.3515684654496],[-4.29881124488969,42.3515684654496]]]}",Objet,fr,Base_Monnaie
Pédologie_Gebhardt,Anne GEBHARDT,"Geomorphologie, Pédo-archéologie, Micromorphologie des sols. Archéologie préventive, recherche programmée. Dynamique des Paysages agraires holocène",2017-07-11 18:05,2017-07-11 17:41,CC-BY-NC-SA,-3000000,2016,118,115,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[4.54135,47.370817],[4.54135,49.7935],[8.04164,49.7935],[8.04164,47.370817],[4.54135,47.370817]]]}",Site,fr,"Geomorphologie, Pédo-archéologie, Micromorphologie des sols. Archéologie préventive, recherche programmée. Dynamique des Paysages agraires holocène"
Gabon_prehistorique,Loup Bernard - Arielle Boussenga,"Gabon, Préhistoire, Master 1 en cours",2017-06-16 15:35,2017-06-16 15:35,CC-BY-NC,indéterminé,indéterminé,17,14,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[9.467268,-2.531608],[9.467268,0.683368],[11.889172,0.683368],[11.889172,-2.531608],[9.467268,-2.531608]]]}",Site,fr,"Base de travail d'A. Boussenga, M1 à l'Université de Strasbourg"
Enceintes_Rhin_Walter2016,Loup Bernard - Maxime Walter,Sites perchés fortifiés de la partie nord des vosges,2017-06-10 14:21,2017-06-10 14:16,CC-BY-NC,-6500,1491,160,44,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[6.735864,48.2219905],[6.735864,49.2673247],[8.0085371,49.2673247],[8.0085371,48.2219905],[6.735864,48.2219905]]]}",Site,fr,"Sites perchés fortifiés de la partie nord des vosges étudiés dans le cadre du master de Maxime Walter désormais en thèse. Inventaire de sites pour l'Axe 1 : Enceintes et sites fortifiés du Rhin supérieur (responsables : C. Féliu, J.-J. Schwien) de l'Équipe IV : Archéologie médio-européenne et rhénane (AMER) du l'UMR7044"
Provence_Fer_Bernard2003,Loup Bernard,Age du Fer Provence sites de hauteur,2017-06-07 18:55,2016-10-19 20:44,CC-BY-NC,-725,-26,935,195,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[4.4093041252847,43.161959438401],[4.4093041252847,44.324450055356],[6.0483001680601,44.324450055356],[6.0483001680601,43.161959438401],[4.4093041252847,43.161959438401]]]}",Site,fr,Base des habitats de hauteur de Provence (départements 13 et 84) réalisée dans le cadre d'une thèse sous la direction de D. Garcia
Marseilleveyre_2012_Delphine_Isoardi,Loup Bernard - Luca Banchetti - Sophie BOUFFIER - Delphine Isoardi,"Prospection, Marseilleveyre, Céramique",2017-06-06 17:08,2017-06-06 12:50,CC-BY-NC-SA,-6500,1789,49,45,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[5.3529312867646,43.2],[5.3529312867646,43.29695],[5.3936095835579,43.29695],[5.3936095835579,43.2],[5.3529312867646,43.2]]]}",Objet,fr,"La base repose sur les prospections de S. Bouffier et D. Isoardi. S'agissant de données de prospections, tous les sites sont à requêter en ""mobilier/céramique""."
Prospections_Bruno_Baudouin_Riez,Luca Banchetti - Bruno Baudoin,"Prospection, Alpes de Haute-Provence, territoire de Riez, Reii",2017-06-06 13:17,2017-06-06 13:13,CC-BY-NC-SA,-6500,1789,558,557,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[5.8014493320616,43.565816299123],[5.8014493320616,44.092799189711],[6.4691211338552,44.092799189711],[6.4691211338552,43.565816299123],[5.8014493320616,43.565816299123]]]}",Site,fr,"Base de données issue de la thèse de B. Baudoin ""La cité de Riez et son territoire""."
PCR_Bouffier_et al.,Loup Bernard - Luca Banchetti - Sophie BOUFFIER,"Prospections, PCR, Marseille, Céramique, diachronique,",2017-06-06 13:11,2017-06-06 12:57,CC-BY-NC-SA,-6500,1789,248,175,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[5.3778084292139,43.230386777591],[5.3778084292139,43.368155914537],[5.5538982528413,43.368155914537],[5.5538982528413,43.230386777591],[5.3778084292139,43.230386777591]]]}",Objet,fr,"Cette base correspond aux prospections menées sous la direction de S. Bouffier, D. Isoardi et L. Bernard dans l'Est de la ville actuelle de Marseille et les communes environnantes"
Florence-Mocci_Prospections_Verdon_2003-2006,Luca Banchetti - Florence Mocci,"Verdon, prospections, habitat",2017-06-06 12:47,2017-06-06 12:37,CC-BY-NC-SA,-6500,1789,86,85,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[5.96754850621701,43.70301],[5.96754850621701,43.7566421108314],[6.06767,43.7566421108314],[6.06767,43.70301],[5.96754850621701,43.70301]]]}",Site,fr,"Base issue des prospections dirigées par D. Garcia et F. Mocci. En cours d'importation, tous les sites sont renseignés comme ""habitats"", le détail de l'inventaire est en champ ""remarques."
Florence_Mocci_Verdon_1998,Luca Banchetti - Florence Mocci,"Verdon, Prospection, habitat",2017-06-06 12:32,2017-06-06 12:32,CC-BY-NC-SA,-6500,1789,39,35,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[5.9912844586147,43.471648334381],[5.9912844586147,43.763659113661],[6.051110943736,43.763659113661],[6.051110943736,43.471648334381],[5.9912844586147,43.471648334381]]]}",Site,fr,"Base correspondant aux prospections de 1997. Le détail des sites est en remarque, en l'état l'essentiel des sites apparaissent comme ""habitat"".
Rapport Intermédiaire de d'opération de Prospection Thématique Pluriannuelle (1996-98) : communes d'Allemagne-en-Provence, Esparron-de-Verdon et Montagnac (Garcia - Mocci). CNRS-SRA PACA, 1997,"
Florence_Mocci_Archéo_Ecrins,Luca Banchetti - Florence Mocci - Kevin Walsh,"Prospection, Néolithique, Ecrins, Moyenne et haute montagne",2017-05-29 17:14,2017-05-29 17:14,CC-BY-NC-SA,-6500,1789,118,117,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[6.3620091586106,44.701834370682],[6.3620091586106,44.93181],[6.53333,44.93181],[6.53333,44.701834370682],[6.3620091586106,44.701834370682]]]}",Site,fr,"Cette base est issue des travaux de prospections et de fouille en moyenne et haute-montagne (1800-2700m d'altitude) sous la direction de F. Mocci (CCJ, UMR 7299) et K. Walsh (Université de York) entre 2000 et 2013.
Certains sites prospectés entre 1998 et 2000 et n'ont pas encore été incorporés dans la base. Les caractérisations spécifiques des sites sont à chercher dans le champ remarques."
Arkeogis-v4_Merlan_Grégoire_2015,Luca Banchetti - Grégoire Merlan,"Métallurgie, Fer, Scories, Gaule Méridionale",2017-05-29 14:46,2017-05-29 14:37,CC-BY-NC-SA,-6500,679,631,279,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[0.31554638699946,42.38473],[0.31554638699946,45.03333],[7.40429,45.03333],[7.40429,42.38473],[0.31554638699946,42.38473]]]}",Site,fr,Base de données réalisée dans le cadre d'un master recherche sur la métallurgie du fer en Gaule méridionale.
Arkeogis v4_Arbres_remarquables_Loup_Bernard,Luca Banchetti,"test, métadonnées en cours de complétion",2017-05-22 17:59,2017-05-22 17:59,CC-BY-NC,indéterminé,indéterminé,631,627,Inventaire,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[4.711874,43.698734],[4.711874,45.057236],[7.045189,45.057236],[7.045189,43.698734],[4.711874,43.698734]]]}",Objet,fr,"test, métadonnées en cours de complétion"
Arkeogis v4_Alexandre_Disser_2008,Luca Banchetti - Alexandre Disser,"Métallurgie, France, mines, fer, or, argent, cuivre",2017-05-22 17:46,2017-05-22 17:46,CC-BY-NC-SA,-6500,1199,789,290,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[-7.58806,42.72782],[-7.58806,52.51611],[7.26295,52.51611],[7.26295,42.72782],[-7.58806,42.72782]]]}",Site,fr,"Base inventaire des extractions minières listées dans les CAG en 2008. Mémoire de Master sous la direction de L. Bernard ""Elaboration d'une méthodologie de datation et de caractérisation d'ouvrages miniers anciens, 2008, 2 vol. 450 p."""
OXALID Crete (Greece) extract,Quentin Drillat - Zofia Stos-Gale,"Oxford Archaeological Lead Isotope Database, Aegean Bronze Age, Bronze Age Crete, Crete, Archaeometry, Archaeometallurgy",2017-05-04 19:01,2017-05-04 19:01,CC-BY-NC,-3000,330,671,670,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[24.02921,34.93248],[24.02921,35.51124],[26.26204,35.51124],[26.26204,34.93248],[24.02921,34.93248]]]}",Site,fr,"Extrait de la base de données OXALID, Crète (Grèce)"
Campagnes entre Moselle et Rhin dans l'Antiquité,Antonin Nüsslein - Jean-Philippe Droux,"Monde rural, Établissements humains, Antiquité, La Tène finale, Rhin, Moselle",2017-05-02 17:53,2017-05-02 17:42,CC-BY-NC-SA,-320,1491,1655,1654,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[6.13470998176883,48.3439259582962],[6.13470998176883,49.1878893170067],[7.65347541852953,49.1878893170067],[7.65347541852953,48.3439259582962],[6.13470998176883,48.3439259582962]]]}",Site,fr,"Les campagnes entre Moselle et Rhin dans l'Antiquité : 
Gisements antiques et de la fin de la période laténienne répertoriés dans quatre zones d'étude (Entre Seille et Nied, Alsace Bossue/Pays de Bitche, Piémont vosgien, Basse vallée de la Bruche) et certains secteurs limitrophes."
Bronzes méridionaux en rapport avec le launacien,Luca Banchetti,"Bronzes, Premier âge du Fer, Launacien, Funéraire, Habitat, Production",2017-04-25 11:17,2017-04-25 11:04,CC-BY-NC-SA,-6500,486,909,904,Recherche,Terminée,Continent,"{""type"":""Polygon"",""coordinates"":[[[0.5216,40.81249],[0.5216,44.89037],[7.323871,44.89037],[7.323871,40.81249],[0.5216,40.81249]]]}",Site,fr,"L'inventaire présente les bronzes dits quotidiens du premier âge du Fer méridional au sens large (-800:-475) comprenant une frange d'hinterland composé des départements du Tarn, Lozère, Aveyron, Ardèche, Drôme et Alpes ainsi que la Catalogne en rapport avec le phénomène launacien mais dans tous les autres contextes archéologiques basé sur une bibliographie uniquement publiée."
Fibules_Nauheim_Artefacts.mom,Lizzie Scholtus - Michel Feugère,Fibules de Nauheim en Gaule de l'Est issues de la base Artefacts,2017-04-14 16:17,2017-04-05 17:14,CC-BY-NC-SA,-150,-26,54,53,Recherche,En cours,Continent,"{""type"":""Polygon"",""coordinates"":[[[5.73842,47.14346],[5.73842,50.18274],[7.71468,50.18274],[7.71468,47.14346],[5.73842,47.14346]]]}",Objet,fr,"Extraction des fibules de Nauheim depuis la base artefacts.mom.fr, pour la Gaule de l'Est"
Féliu_thèse_2008,Clément Féliu,"Age du Fer, La Tène moyenne, La Tène finale, habitat, funéraire, Leuques, Médiomatriques, fortifications,   oppidum",2017-04-13 18:05,2017-04-13 18:05,CC-BY-NC-SA,-460,449,1181,408,Recherche,Terminée,Continent,"{""type"":""Polygon"",""coordinates"":[[[4.919894,47.966709],[4.919894,49.44218],[8.106898,49.44218],[8.106898,47.966709],[4.919894,47.966709]]]}",Site,fr,"Cette base reprend le catalogue de ma thèse de doctorat sur les ""Leuques et Médiomatriques à La Tène moyenne et finale"". Elle regroupe essentiellement les sites d'habitat, qui ont fait l'objet d'une étude approfondie, les nécropoles, envisagées plus rapidement, et l’ensemble des indices de sites (monnaies, mobilier erratique…).

Le numéro des sites renvoie au numéro des fiches du catalogue de ma thèse, disponible en ligne :
http://tel.archives-ouvertes.fr/tel-00613830.
Le lecteur y trouvera les références bibliographiques propres à chacun des ensembles présentés.

La précision des coordonnées varie de quelques mètres à quelques centaines de mètres ; les coordonnées au centroïde sont fixées au centre du village (église).
L'état des connaissances ""Littérature"" correspond aux sites connus uniquement par la littérature mais également aux sites prospectés."
EPD (Extrait),Jean-Philippe Droux - Michelle Leydet,"Pollens fossiles, analyses, carbone 14",2017-04-04 12:52,2017-04-04 12:52,CC-BY-NC,indéterminé,indéterminé,2329,1485,Recherche,En cours,Monde,"{""type"":""Polygon"",""coordinates"":[[[-10.348333,35.683333],[-10.348333,54.216667],[36.616667,54.216667],[36.616667,35.683333],[-10.348333,35.683333]]]}",Site,fr,"Pollens fossiles, analyses, carbone 14. IMPORT EN COURS, Préférer la base source pour l'instant"
Trésors monétaires S-O Gaule/N-E Ibérie (2e AF),Eneko Hiriart,"Trésors, Monnaies, âge de Fer, Dépôts",2017-04-03 22:25,2017-04-03 22:16,CC-BY-NC-SA,-260,-26,164,163,Recherche,Terminée,Continent,"{""type"":""Polygon"",""coordinates"":[[[-3.041812,39.560011],[-3.041812,47.033333],[3.90011,47.033333],[3.90011,39.560011],[-3.041812,39.560011]]]}",Site,fr,"Inventaire des trésors monétaires du sud-ouest de la Gaule et du nord-est de la péninsule Ibérique, pour le second âge du Fer."
IFAO C14 Egypte (Base de test),Jean-Philippe Droux,"Analyses C14, sites archéologiques, Egypte",2017-04-03 16:03,2017-03-30 17:12,CC-BY-NC-SA,indéterminé,indéterminé,570,569,Recherche,En cours,Continent,"{""type"":""Polygon"",""coordinates"":[[[26.803333,24.52858],[26.803333,31.3166],[34.036389,31.3166],[34.036389,24.52858],[26.803333,24.52858]]]}",Site,fr,"Analyses C14, sites archéologiques, Egypte"
OXALID EGYPT Extract,Jean-Philippe Droux - Zofia Stos-Gale,Oxford Archaeological Lead Isotope Database,2017-04-03 16:02,2017-03-31 17:33,CC-BY-NC,-8000,-270,69,68,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[30.68023,18.53],[30.68023,30.86],[32.8,30.86],[32.8,18.53],[30.68023,18.53]]]}",Site,fr,Oxford Archaeological Lead Isotope Database
Fibules_Nauheim_Striewe_Gaule_Est,Lizzie Scholtus,Fibule de Nauheim en Gaule de l'Est,2017-03-22 19:36,2017-03-22 19:12,CC-BY-NC-SA,-150,26,436,434,Ouvrage,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[5.18623,46.76022],[5.18623,50.17996],[8.36833,50.17996],[8.36833,46.76022],[5.18623,46.76022]]]}",Objet,fr,"Il s'agit de l'inventaire des fibules de Nauheim et assimilées dans l'est de la Gaule, selon la thèse de K. Striewe en 1996"
HYDROMED punique ,Iván Fumadó Ortega - Sophie BOUFFIER,"Aménagements hydrauliques, citernes",2017-03-09 16:19,2017-03-09 16:19,CC-BY-NC,-525,500,73,72,Inventaire,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[10.329791215357,36.8596098745077],[10.3297909693897,36.8596081187243],[10.3297903018749,36.8596064352372],[10.3297892384649,36.859604888742],[10.3297878200261,36.8596035386696],[10.329786101068,36.8596024369024],[10.3297841476495,36.8596016257808],[10.3297820348392,36.8596011364758],[10.3297798438312,36.8596009877909],[10.3297776588247,36.8596011854401],[10.3297755637883,36.8596017218279],[10.3297736392329,36.8596025763411],[10.3297719591183,36.8596037161413],[10.3297705880101,36.8596050974267],[10.3297695785994,36.8596066671153],[10.3297689696772,36.8596083648847],[10.3297687846442,36.8596101254907],[10.329769030611,36.8596118812741],[10.3297696981254,36.8596135647613],[10.3297707615351,36.8596151112567],[10.3297721799739,36.8596164613293],[10.3297738989321,36.8596175630967],[10.3297758523509,36.8596183742184],[10.3297779651617,36.8596188635236],[10.3297801561702,36.8596190122085],[10.3297823411771,36.8596188145592],[10.329784436214,36.8596182781714],[10.3297863607696,36.8596174236579],[10.3297880408844,36.8596162838575],[10.3297894119924,36.8596149025719],[10.3297904214028,36.8596133328832],[10.3297910303245,36.8596116351137],[10.329791215357,36.8596098745077]]]}",Site,fr,Inventaire des citernes Punique de Carthage (Tunisie)
OXALID extract,Loup Bernard - Zofia Stos-Gale,"Aegean Bronze Age (Bronze Age Archaeology), Archaeometry, and Archaeolmetallurgy.",2017-03-08 17:29,2017-03-08 17:19,CC-BY-NC,-8000,399,413,376,Recherche,En cours,Continent,"{""type"":""Polygon"",""coordinates"":[[[3.1,-9.71338],[3.1,45.2689],[46.10551,45.2689],[46.10551,-9.71338],[3.1,-9.71338]]]}",Site,fr,"Aegean Bronze Age (Bronze Age Archaeology), Archaeometry, and Archaeolmetallurgy. OXALID"
Base_cruches,Lizzie Scholtus - Cécile Plouin Fortuné,Cruches gallo-romaines en Alsace,2017-02-11 23:15,2017-02-11 23:09,CC-BY-NC-SA,-27,400,213,212,Inventaire,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[6.75979,47.65852],[6.75979,49.11517],[7.74553,49.11517],[7.74553,47.65852],[6.75979,47.65852]]]}",Objet,fr,Référencement des cruches gallo-romaines présentent dans la base cruche hébérgée sur le site de la MISHA
